epoch,train_loss,valid_loss,train_acc,valid_acc
1,1.7016387380864886,1.56067921987772,0.3692888888888889,0.4314
2,1.365374609778987,1.3510418165802955,0.5110222222222223,0.5072
3,1.2296183205289972,1.2863131220251323,0.5628888888888889,0.544
4,1.1360725796976023,1.1937947598695755,0.5987111111111111,0.5764
5,1.0680647123476696,1.1691811777427792,0.6229333333333333,0.5916
6,1.013028803245599,1.2277796338409186,0.6441777777777777,0.5742
7,0.9691712182569835,1.1393496191829442,0.6581111111111111,0.594
8,0.9284007681995217,1.2435509808167815,0.6723555555555556,0.5828
9,0.8924719375626494,1.1674970678552985,0.6839111111111111,0.596
10,0.8562656466270072,1.17557465377748,0.6954888888888889,0.6016
11,0.833336512112395,1.2081595536880194,0.7052444444444445,0.5984
12,0.8023909129321201,1.2393313242010773,0.7151111111111111,0.5958
13,0.7834582757734694,1.2664738712124526,0.7208666666666667,0.5934
14,0.7632683554888082,1.3163619177814574,0.7296888888888889,0.5882
15,0.7437376608237243,1.3188632363127544,0.7370666666666666,0.5986
16,0.7307865716084657,1.3024628570185974,0.7412888888888889,0.6014
17,0.7079460315930243,1.395838871728303,0.7502888888888889,0.5838
18,0.6971881357808196,1.3796457633484156,0.7524888888888889,0.5932
19,0.6872238425309268,1.3748512687413954,0.7564,0.5946
20,0.6815859954144922,1.4168635168956594,0.7597555555555555,0.5912
21,0.663402572741168,1.4709949385930785,0.7676444444444445,0.5846
22,0.6575515595349335,1.5156994494630023,0.7689333333333334,0.5798
23,0.6448911566146414,1.6422775860534982,0.7733333333333333,0.5694
24,0.6439206736096731,1.4830215808719396,0.7742,0.5796
25,0.635975163097209,1.5775191951312124,0.7761111111111111,0.5814
26,0.6272885585585469,1.565212716863677,0.7807777777777778,0.59
27,0.6258684642838815,1.6363114776235075,0.7814,0.5788
28,0.6211580305516597,1.6396536357428646,0.7823111111111111,0.5676
29,0.6144623911929014,1.5982817645619856,0.7859777777777778,0.5896
30,0.6057383969049168,1.7444062430195977,0.7872444444444444,0.573
31,0.6142129332896478,1.581072037023492,0.7874,0.5854
32,0.6065304868037981,1.7017623326482252,0.7916,0.5656
