epoch,train_loss,valid_loss,train_acc,valid_acc
1,1.7173884317956187,1.4850262312949458,0.3679865056818182,0.4450158227848101
2,1.4368130823766643,1.4990109703208827,0.4833318536931818,0.4630142405063291
3,1.3596628559753299,1.4355650581891024,0.5206853693181818,0.5049446202531646
4,1.3312504286454483,1.3855850968179824,0.5369096235795454,0.5112737341772152
5,1.2932184034619818,1.3544488420969323,0.5533114346590909,0.5375791139240507
6,1.289436163380742,1.392151488533503,0.5548428622159091,0.5255142405063291
7,1.284307235259224,1.3978886604309082,0.5558638139204546,0.5274920886075949
8,1.284461985003542,1.4907791750340522,0.5630992542613636,0.5031645569620253
9,1.2813954322852872,1.4298648864408083,0.5645640980113636,0.5158227848101266
10,1.2650216924534603,1.4876042061214205,0.5731090198863636,0.5221518987341772
11,1.271688058887693,1.4775352689284313,0.5746182528409091,0.5199762658227848
12,1.2828362877904014,1.5168325252170805,0.5681374289772727,0.4944620253164557
13,1.3180356897752394,1.5039378729047654,0.5607022372159091,0.504746835443038
14,1.3200572648678313,1.5416571761988387,0.5628995028409091,0.510878164556962
15,1.3237883185290478,1.4875775779349893,0.5608575994318182,0.5259098101265823
16,1.319335843944414,1.5237349875365631,0.5647194602272727,0.5185917721518988
17,1.3477766964245925,1.5915166396128981,0.5581720525568182,0.5083069620253164
18,1.2849204717203975,1.7586555707303784,0.579345703125,0.4665743670886076
19,1.3273901981724934,1.5935377335246605,0.5682484019886364,0.4889240506329114
20,1.3463320729576729,1.6003002773357342,0.5636097301136364,0.4901107594936709
21,1.3397294823080301,1.552379067940048,0.5620339133522727,0.4970332278481013
22,1.380621155300601,1.6129866732826716,0.5545543323863636,0.4897151898734177
23,1.3657716689631343,1.6664045053192331,0.5622114701704546,0.48635284810126583
24,1.3952741642397912,1.5725670087186596,0.5532892400568182,0.49485759493670883
25,1.3894459002397277,1.679340816751311,0.5533336292613636,0.45470727848101267
26,1.4445136942138725,1.6683473043803927,0.5400834517045454,0.5081091772151899
27,1.4123698754066771,1.6739410493947282,0.5472745028409091,0.484375
28,1.4443995463238521,1.6276868808118603,0.5380193536931818,0.4786392405063291
29,1.458795902149921,1.7646612094927439,0.5320712002840909,0.46024525316455694
30,1.4923689838668162,1.6809272132342374,0.5185546875,0.4855617088607595
31,1.5216872217980297,1.7576552720009526,0.5136274857954546,0.4248417721518987
32,1.5941062048077583,2.0222668964651564,0.4794034090909091,0.3805379746835443
