epoch,train_loss,valid_loss,train_acc,valid_acc
1,2.3009792366488413,2.2953167474722562,0.10120738636363637,0.09909018987341772
2,2.23581927371296,2.0863326999205576,0.17826704545454544,0.25039556962025317
3,1.9761548560451379,1.8844571732267548,0.2864657315340909,0.31269778481012656
4,1.7848263513296843,1.7105599083477938,0.3495871803977273,0.36886867088607594
5,1.657782981172204,1.617564545402044,0.39189009232954547,0.40783227848101267
6,1.5865634801712902,1.5681579505340963,0.4202325994318182,0.41989715189873417
7,1.533506427468224,1.5144459235517285,0.44307084517045453,0.4489715189873418
8,1.4840373329140923,1.489091292212281,0.46251331676136365,0.45332278481012656
9,1.4377843856134198,1.4297394480886338,0.4801358309659091,0.48279272151898733
10,1.393507062965496,1.4072785377502441,0.4986905184659091,0.48575949367088606
11,1.3561139553785324,1.362748790390884,0.5123401988636364,0.5025712025316456
12,1.3191854980012232,1.3316199636157555,0.5281427556818182,0.517998417721519
13,1.2859236266125331,1.2938022817237467,0.5408158735795454,0.5326344936708861
14,1.25113424370912,1.3059120132953306,0.5527121803977273,0.5239319620253164
15,1.217764131301506,1.277203999742677,0.5662508877840909,0.5466772151898734
16,1.1870920182290403,1.227171778678894,0.5769708806818182,0.5591376582278481
17,1.1626170567152174,1.2761632551120807,0.5899769176136364,0.5423259493670886
18,1.1332420782101424,1.208755772325057,0.5997647372159091,0.5589398734177216
19,1.1105138997293331,1.1924715253371228,0.6076216264204546,0.5771360759493671
20,1.0893509542061524,1.1824933765809746,0.6160555752840909,0.5704113924050633
21,1.0678720403970643,1.168225048463556,0.6236905184659091,0.5836629746835443
22,1.0459249277853153,1.1649147460732279,0.6310369318181818,0.5834651898734177
23,1.0296192132783206,1.1416053824786898,0.6393155184659091,0.5931566455696202
24,1.0103423097594217,1.118084875843193,0.6469282670454546,0.603243670886076
25,0.9953980696472254,1.142129283162612,0.6519886363636364,0.5935522151898734
26,0.9771625367416577,1.1325297778165793,0.6600896661931818,0.5917721518987342
27,0.9607038977979259,1.108427825607831,0.6656827059659091,0.6020569620253164
28,0.944207978604192,1.1008890897412844,0.6703435724431818,0.6115506329113924
29,0.9309435659511522,1.0998541539228415,0.6750710227272727,0.6145174050632911
30,0.913379595530304,1.0716277692891374,0.6822398792613636,0.6153085443037974
31,0.9008548795668916,1.0631590711919567,0.6857688210227273,0.6305379746835443
32,0.8824117850850929,1.0965399908114084,0.6927157315340909,0.6160996835443038
